name,Sex,Team,Sport,Medal,Medal_Count
Harry Franklin Porter,M,United States,Athletics,Gold,1
Harry Holm,M,Denmark,Gymnastics,Gold,1
Harry Hunter Lott,M,Vesper Boat Club,Rowing,Gold,1
Harry Joseph Hebner,M,United States,Swimming,Gold,1
"Harry Lee ""Butch"" Reynolds, Jr.",M,United States,Athletics,Gold,1
Harry Leopold DeBaecke,M,Vesper Boat Club,Rowing,Gold,1
Harry Lester Adams,M,United States,Shooting,Gold,1
Harry Richard Corner,M,Devon and Somerset Wanderers,Cricket,Gold,1
Harry Robinson Humby,M,Great Britain,Shooting,Gold,1
Harry Scott Freeman,M,England-1,Hockey,Gold,1
Harry Wyndham Jefferson,M,Bona Fide,Sailing,Gold,1
Hartmut Krger,M,East Germany,Handball,Gold,1
Hartmut Schade,M,East Germany,Football,Gold,1
Hartwig Gauder,M,East Germany,Athletics,Gold,1
Hartwig Steenken,M,West Germany,Equestrianism,Gold,1
Haruka Tachimoto,F,Japan,Judo,Gold,1
Haruki Uemura,M,Japan,Judo,Gold,1
Harvey Edward Glance,M,United States,Athletics,Gold,1
Harvey Jesse Wood,M,England-1,Hockey,Gold,1
Hasan Gemici,M,Turkey,Wrestling,Gold,1
Hasan Gngr,M,Turkey,Wrestling,Gold,1
Hasanboy Dusmatov,M,Uzbekistan,Boxing,Gold,1
Hasely Joachim Crawford,M,Trinidad and Tobago,Athletics,Gold,1
Hassan Aliazam Yazdanicharati,M,Iran,Wrestling,Gold,1
Hassan Sardar,M,Pakistan,Hockey,Gold,1
Hassiba Boulmerka,F,Algeria,Athletics,Gold,1
Hayes Alan Jenkins,M,United States,Figure Skating,Gold,1
"Hayes Edward ""Ed"" Sanders",M,United States,Boxing,Gold,1
Hayes Wendell Jones,M,United States,Athletics,Gold,1
"Hayward Alan Roger ""Rod"" Plaxton",M,Canada,Ice Hockey,Gold,1
Hctor Castro,M,Uruguay,Football,Gold,1
Hctor Miguel Herrera Lpez,M,Mexico,Football,Gold,1
Hctor Milin Prez,M,Cuba,Wrestling,Gold,1
Hctor Rodrguez Torres,M,Cuba,Judo,Gold,1
He Chong,M,China,Diving,Gold,1
He Wenna,F,China,Trampolining,Gold,1
He Zi,F,China,Diving,Gold,1
Heather Lee Simmons-Carrasco,F,United States,Synchronized Swimming,Gold,1
Heather M. Pease-Olson,F,United States,Synchronized Swimming,Gold,1
Heather Petri,F,United States,Water Polo,Gold,1
Heaton Luse Wrenn,M,United States,Rugby,Gold,1
Hector Harold Whitlock,M,Great Britain,Athletics,Gold,1
"Hector Monroe ""Hec"" Dyer",M,United States,Athletics,Gold,1
Hedy Schlunegger (-Kaufmann),F,Switzerland,Alpine Skiing,Gold,1
Hege Riise,F,Norway,Football,Gold,1
Heidi Astrup,F,Denmark,Handball,Gold,1
"Heidi Biebl (-Schmid, -Prelevi)",F,Germany,Alpine Skiing,Gold,1
Heidi Lke,F,Norway,Handball,Gold,1
Heike Kemmer,F,Bonaparte,Equestrianism,Gold,1
Heike Kemmer,F,Germany,Equestrianism,Gold,1
Heike Ltzsch (-Wedekind),F,Germany,Hockey,Gold,1
Heike Redetzky-Henkel (-Meier),F,Germany,Athletics,Gold,1
Heike Singer (-Klein),F,East Germany,Canoeing,Gold,1
Heikki Vihtori Hasu,M,Finland,Cross Country Skiing,Gold,1
Heikki Vihtori Hasu,M,Finland,Nordic Combined,Gold,1
Heini Hemmi,M,Switzerland,Alpine Skiing,Gold,1
"Heinrich ""Heiri"" Angst",M,Switzerland-1,Bobsleigh,Gold,1
Heinrich Burger,M,Germany,Figure Skating,Gold,1
Heinrich Georg Schomburgk,M,Germany,Tennis,Gold,1
Heinrich Keimig,M,Germany,Handball,Gold,1
Heinrich Peters,M,Aschenbrodel,Sailing,Gold,1
Heinrich Rondi,M,Germany,Tug-Of-War,Gold,1
Heinrich Schlppi,M,Switzerland-1,Bobsleigh,Gold,1
Heinrich Schneidereit,M,Germany,Tug-Of-War,Gold,1
"Heinrich Theodor ""Heinz"" Krvers",M,Germany,Handball,Gold,1
Heinz Brandt,M,Germany,Equestrianism,Gold,1
Heinz-Jrgen Bothe,M,East Germany,Rowing,Gold,1
"Helen Constance ""Connie"" Carpenter-Phinney",F,United States,Cycling,Gold,1
Helen Eileen Johns (-Carroll),F,United States,Swimming,Gold,1
Helen Louise Maroulis,F,United States,Wrestling,Gold,1
"Helen Meany (-Balfe, -Gravis)",F,United States,Diving,Gold,1
"Helen Newington Wills (-Moody, -Roark)",F,United States,Tennis,Gold,1
"Helen Newington Wills (-Moody, -Roark)",F,United States-1,Tennis,Gold,1
Helen Richardson-Walsh,F,Great Britain,Hockey,Gold,1
Helen Volk,F,Zimbabwe,Hockey,Gold,1
"Helena ""Lea"" Nordheim (-Kloot)",F,Netherlands,Gymnastics,Gold,1
Helene Engelmann (-Jaroschka),F,Austria,Figure Skating,Gold,1
Helene Mayer (-Falkner von Sonnenburg),F,Germany,Fencing,Gold,1
Helga Haase (Obschernitzki-),F,Germany,Speed Skating,Gold,1
Helga Seidler (Fischer-),F,East Germany,Athletics,Gold,1
Helge Andreas Lvland,M,Norway,Athletics,Gold,1
Helge Gustaf Samuel Bckander,M,Sweden,Gymnastics,Gold,1
Heli Orvokki Rantanen,F,Finland,Athletics,Gold,1
Helma Lehmann (Mhren-),F,East Germany,Rowing,Gold,1
Helmer Orla Leif Pedersen,M,Pandora,Sailing,Gold,1
Helmut Bantz,M,Germany,Gymnastics,Gold,1
Helmut Recknagel,M,Germany,Ski Jumping,Gold,1
Hendra Setiawan,M,Indonesia-1,Badminton,Gold,1
"Hendrik ""Rik"" Van Looy",M,Belgium,Cycling,Gold,1
"Hendrik Gerardes Jozef ""Joop"" Zoetemelk",M,Netherlands,Cycling,Gold,1
"Hendrik Jan ""Henk Jan"" Held",M,Netherlands,Volleyball,Gold,1
Hendrik Reiher,M,East Germany,Rowing,Gold,1
Hendrika Alida van Rumt,F,Netherlands,Gymnastics,Gold,1
"Hendrikus ""Driekske"" van Bussel",M,Netherlands,Archery,Gold,1
"Hendrikus Andreas ""Hennie"" Kuiper",M,Netherlands,Cycling,Gold,1
Henk Jan Zwolle,M,Netherlands,Rowing,Gold,1
Hennadiy Valentynovych Avdieienko,M,Soviet Union,Athletics,Gold,1
Henri Alphonse Hazebrouck (Charlet-),M,Cercle de l'Aviron Roubaix-4,Rowing,Gold,1
Henri Andr Laperrire,M,Canada,Ice Hockey,Gold,1
"Henri Antoine Padou, Sr.",M,France,Water Polo,Gold,1
Henri Chammartin,M,Switzerland,Equestrianism,Gold,1
Henri Gance,M,France,Weightlifting,Gold,1
Henri Gurin,M,France,Fencing,Gold,1
Henri Jan Wienese,M,Netherlands,Rowing,Gold,1
Henri Joseph Marcel Gilardoni,M,Femur-1,Sailing,Gold,1
Henri Junghnel,M,Germany,Shooting,Gold,1
Henri Louis Lucien Lepage,M,France,Fencing,Gold,1
Henri Lucien Ernest Eugne Anspach,M,Belgium,Fencing,Gold,1
Henri Patrick M'Boma Dem,M,Cameroon,Football,Gold,1
Henri Pierre Coquelin de Lisle,M,France,Shooting,Gold,1
Henric Arvid Bengt Christer Horn af minne,M,Sweden,Equestrianism,Gold,1
Henrietta Ebert (Dobler-),F,East Germany,Rowing,Gold,1
Henrietta nodi,F,Hungary,Gymnastics,Gold,1
Henriette Rnde (-Henriette Mller) Mikkelsen,F,Denmark,Handball,Gold,1
Henrik Blakskjr,M,Denmark,Sailing,Gold,1
Henrik Hajs (Guttmann-),M,Hungary,Swimming,Gold,1
Henrik Hjalmar Simon Morn,M,Sweden,Cycling,Gold,1
Henrik Mllgaard Jensen,M,Denmark,Handball,Gold,1
Henrik Olsen stervold (Austevold-),M,Atlanta,Sailing,Gold,1
Henrik Toft Hansen,M,Denmark,Handball,Gold,1
"Henry ""Harry"" Stapley",M,Great Britain,Football,Gold,1
Henry Andreas Rambusch,M,Denmark,Football,Gold,1
"Henry Argue ""Hank"" Russell",M,United States,Athletics,Gold,1
Henry Arthur Proctor,M,United States,Rowing,Gold,1
Henry Bensley Wells,M,Leander Club-1,Rowing,Gold,1
Henry Carlos Cejudo,M,United States,Wrestling,Gold,1
Henry Cecil Sutton,M,Cobweb-1,Sailing,Gold,1
Henry Chandler Egan,M,Western Golf Association-1,Golf,Gold,1
Henry Charles Littlewort,M,Great Britain,Football,Gold,1
Henry Courtenay Hawtrey,M,Great Britain,Athletics,Gold,1
Henry Cresswell Bucknall,M,Leander Club-1,Rowing,Gold,1
"Henry Dewey Louis ""Lou"" Hudson",M,Canada,Ice Hockey,Gold,1
Henry Durand Tillman,M,United States,Boxing,Gold,1
"Henry Francis ""Henny"" Hoobin",M,Canada,Lacrosse,Gold,1
Henry George,M,Belgium,Cycling,Gold,1
"Henry Jean Guy ""Jean-Guy"" Gautier",M,Union des Socits Franais de Sports Athletiques,Rugby,Gold,1
"Henry John ""Harry"" Spanjer",M,United States,Boxing,Gold,1
"Henry Kent Mitchell, II",M,United States,Rowing,Gold,1
Henry Louis Scott,M,United States,Athletics,Gold,1
Henry Maitland Macintosh,M,Great Britain,Athletics,Gold,1
Henry Marvin Bailey,M,United States,Shooting,Gold,1
Henry Maske,M,East Germany,Boxing,Gold,1
"Henry Morton ""Harry"" Llewellyn",M,Great Britain,Equestrianism,Gold,1
Henry North Haslam,M,Upton Park FC,Football,Gold,1
"Henry Norwood ""Barney"" Ewell",M,United States,Athletics,Gold,1
Henry Seiling,M,Milwaukee Athletic Club-1,Tug-Of-War,Gold,1
"Henry Stoddard ""Harry"" Babcock",M,United States,Athletics,Gold,1
"Henry Thomas ""Harry"" Blackstaffe",M,Great Britain,Rowing,Gold,1
Henry Treise Morshead,M,Great Britain,Alpinism,Gold,1
Henry Wittenberg,M,United States,Wrestling,Gold,1
Heorhiy Vadymovych Pohosov,M,Unified Team,Fencing,Gold,1
Herbert Adamski,M,Germany,Rowing,Gold,1
"Herbert Alfred Wellington ""Bert"" Plaxton",M,Canada,Ice Hockey,Gold,1
Herbert Haydon Wilson,M,Roehampton-1,Polo,Gold,1
"Herbert Henry ""Herb"" McKenley",M,Jamaica,Athletics,Gold,1
"Herbert James ""Herb"" Elliott",M,Australia,Athletics,Gold,1
Herbert Krug,M,West Germany,Equestrianism,Gold,1
"Herbert Philip ""Bert"" Williams",M,Kathleen,Sailing,Gold,1
"Herbert Roger ""Herb"" Morris",M,United States,Rowing,Gold,1
Herbert Roper Barrett,M,Great Britain-1,Tennis,Gold,1
Herbert Runge,M,Germany,Boxing,Gold,1
Herbert Smith,M,Great Britain,Football,Gold,1
Herbert Spencer Perry,M,Great Britain,Shooting,Gold,1
"Herma Planck-Szabo (-Jarosz, -Stark)",F,Austria,Figure Skating,Gold,1
Herman Andreas Nyberg,M,Kitty-1,Sailing,Gold,1
Herman Georges Berger,M,France,Fencing,Gold,1
"Herman Matinpoika ""Hermanni"" Pihlajamki",M,Finland,Wrestling,Gold,1
Herman Ronald Frazier,M,United States,Athletics,Gold,1
Herman Theobald Glass,M,United States,Gymnastics,Gold,1
"Hermann ""Hannes"" Hansen",M,Germany,Handball,Gold,1
Hermann Alexandre de Pourtals,M,Lerina,Sailing,Gold,1
Hermann Gehri,M,Switzerland,Wrestling,Gold,1
Hermann Joseph Barrelet,M,France,Rowing,Gold,1
Hermann Kutschera,M,Austria,Art Competitions,Gold,1
Hermann Leopold August von Oppeln-Bronikowski,M,Germany,Equestrianism,Gold,1
Hermann Linkenbach,M,Germany,Equestrianism,Gold,1
Hermann Schreiber,M,Switzerland,Aeronautics,Gold,1
Hermann Schridde,M,Germany,Equestrianism,Gold,1
Hermann Wilker,M,Ludwigshafener Ruderverein,Rowing,Gold,1
Hermanus Gerardus Brockmann,M,Minerva Amsterdam,Rowing,Gold,1
"Hermine ""Herma"" Bauma",F,Austria,Athletics,Gold,1
Hezekiah Munyoro Nyamau,M,Kenya,Athletics,Gold,1
Hideaki Tomiyama,M,Japan,Wrestling,Gold,1
Hideaki Yanagida,M,Japan,Wrestling,Gold,1
Hidehiko Yoshida,M,Japan,Judo,Gold,1
Hideko Maehata (-Hyodo),F,Japan,Swimming,Gold,1
Hilary Hurlburt Smart,M,Hilarius,Sailing,Gold,1
"Hildegard ""Hilde"" Schrader (-Lux)",F,Germany,Swimming,Gold,1
"Hildegard Falck (Janze-, -Kimmich)",F,West Germany,Athletics,Gold,1
Hilliard Lyle,M,Winnipeg Shamrocks-1,Lacrosse,Gold,1
Hinkelien Schreuder,F,Netherlands,Swimming,Gold,1
Hippolyt Marcel Kempf,M,Switzerland,Nordic Combined,Gold,1
Hiram Ricardo Mier Alans,M,Mexico,Football,Gold,1
Hiroko Sakai,F,Japan,Softball,Gold,1
Hiromi Yano (-Ikeda),F,Japan,Volleyball,Gold,1
Hiroshi Kajiyama,M,Japan,Gymnastics,Gold,1
Hiroya Saito,M,Japan,Ski Jumping,Gold,1
Hiroyasu Shimizu,M,Japan,Speed Skating,Gold,1
Hiroyuki Tomita,M,Japan,Gymnastics,Gold,1
Hisakichi Toyoda (-Minejima),M,Japan,Swimming,Gold,1
Hisashi Mizutori,M,Japan,Gymnastics,Gold,1
Hisato Igarashi,M,Japan,Gymnastics,Gold,1
Hitomi Obara (Sakamoto-),F,Japan,Wrestling,Gold,1
Hjalmar Axel Fritz Cedercrona,M,Sweden,Gymnastics,Gold,1
Hjalmar Herup,M,Denmark,Football,Gold,1
Hjalmar Stefanus Mellander,M,Sweden,Athletics,Gold,1
Hjrdis Margareta Nordin (-Hallquist),F,Sweden,Gymnastics,Gold,1
Hkon Brusveen,M,Norway,Cross Country Skiing,Gold,1
"Hlia ""Fofo"" Rogrio de Souza Pinto",F,Brazil,Volleyball,Gold,1
Hlne de Pourtals (Barbey-),F,Lerina,Sailing,Gold,1
Hocine Soltani,M,Algeria,Boxing,Gold,1
Holger Behrendt,M,East Germany,Gymnastics,Gold,1
Holger Frederiksen,M,Denmark,Football,Gold,1
Hollie Webb,F,Great Britain,Hockey,Gold,1
Hong Jeong-Ho,F,South Korea,Handball,Gold,1
Hong Un-Jong,F,North Korea,Gymnastics,Gold,1
Hong Xun Vinh,M,Vietnam,Shooting,Gold,1
"Horace ""Lefty"" Gwynne",M,Canada,Boxing,Gold,1
"Horace Ashenfelter, III",M,United States,Athletics,Gold,1
"Horace Hallock ""Hal"" Brown",M,United States,Athletics,Gold,1
Horace Peter Bailey,M,Great Britain,Football,Gold,1
Horace Robert Bonser,M,United States,Shooting,Gold,1
Horst Drse,M,West Germany,Hockey,Gold,1
Horst Effertz,M,Germany,Rowing,Gold,1
Horst Hoeck,M,Germany,Rowing,Gold,1
Horst Hrnlein,M,East Germany-1,Luge,Gold,1
Horst Meyer,M,West Germany,Rowing,Gold,1
Hossein Tavakoli,M,Iran,Weightlifting,Gold,1
Hou Yuzhu,F,China,Volleyball,Gold,1
"Howard Earl ""Howie"" Williams",M,United States,Basketball,Gold,1
"Howard Edward Davis, Jr.",M,United States,Boxing,Gold,1
"Howard Thayer Kingsbury, Jr.",M,United States,Rowing,Gold,1
Howard Van Nostrand Valentine,M,New York Athletic Club,Athletics,Gold,1
Hrachya Petikyan,M,Unified Team,Shooting,Gold,1
Hrvoje Horvat,M,Yugoslavia,Handball,Gold,1
Hryhoriy Anatoliyovych Misiutin,M,Unified Team,Gymnastics,Gold,1
Hryhoriy Yakovych Kriss,M,Soviet Union,Fencing,Gold,1
Hseyin zkan (Bisultanov-),M,Turkey,Judo,Gold,1
Hsu Shu-Ching,F,Chinese Taipei,Weightlifting,Gold,1
Hu Jia,M,China,Diving,Gold,1
Hubert Andr Parot,M,France,Equestrianism,Gold,1
Hubert Augustus Caldwell (-Aspinwall),M,United States,Rowing,Gold,1
Hubert Gardas,M,France,Fencing,Gold,1
Hubert Hammerer,M,Austria,Shooting,Gold,1
Hubert Jean Daniel Lefbvre,M,Union des Socits Franais de Sports Athletiques,Rugby,Gold,1
Hubert Jerzy Kostka,M,Poland,Football,Gold,1
Hubert Schwarz,M,West Germany,Nordic Combined,Gold,1
Hubert Strolz,M,Austria,Alpine Skiing,Gold,1
"Hubertus Balthazar ""Bart"" Zoet",M,Netherlands,Cycling,Gold,1
Hubertus Schmidt,M,Germany,Equestrianism,Gold,1
"Huelet Leo ""Joe"" Benner",M,United States,Shooting,Gold,1
Hugh Fisher,M,Canada,Canoeing,Gold,1
Hugh John Plaxton,M,Canada,Ice Hockey,Gold,1
"Hugh Lawrence ""Laurie"" Doherty",M,Great Britain,Tennis,Gold,1
"Hugh Lawrence ""Laurie"" Doherty",M,Great Britain-1,Tennis,Gold,1
Hugh Miller Foley,M,United States,Rowing,Gold,1
Hugh Robert Sutherland,M,Canada,Ice Hockey,Gold,1
Hugo Alexander Helsten,M,Denmark,Gymnastics,Gold,1
Hugo Ariel Sconochini,M,Argentina,Basketball,Gold,1
Hugo Herrnhof,M,Italy,Short Track Speed Skating,Gold,1
Hugo Strau,M,Germany,Rowing,Gold,1
Hugues Obry,M,France,Fencing,Gold,1
Hui Ruoqi,F,China,Volleyball,Gold,1
Humberto Tomassina,M,Uruguay,Football,Gold,1
Huo Liang,M,China,Diving,Gold,1
Hussain Khalid Mahmood,M,Pakistan,Hockey,Gold,1
Hvard Klemetsen,M,Norway,Nordic Combined,Gold,1
Hwang Hye-Yeong,F,South Korea-2,Badminton,Gold,1
Hwang Yeong-Jo,M,South Korea,Athletics,Gold,1
Hyeon Jeong-Hwa,F,South Korea,Table Tennis,Gold,1
"Hyland DeAndre Jordan, Jr.",M,United States,Basketball,Gold,1
Iain Jensen,M,Australia,Sailing,Gold,1
Iain Somerled MacDonald-Smith,M,Great Britain,Sailing,Gold,1
Ian Charles Boucher Taylor,M,Great Britain,Hockey,Gold,1
Ian Gordon Turner,M,United States,Rowing,Gold,1
Ian Sterry Browne,M,Australia,Cycling,Gold,1
Ibolya Csk (-Kdr),F,Hungary,Athletics,Gold,1
Ibrahim Hassanien Shams,M,Egypt,Weightlifting,Gold,1
Ibrahim Moustafa,M,Egypt,Wrestling,Gold,1
Ida Alstad,F,Norway,Handball,Gold,1
Ida Maria Erika Ingemarsdotter,F,Sweden,Cross Country Skiing,Gold,1
Idalys Ortz Bocourt,F,Cuba,Judo,Gold,1
Idriss Carlos Kameni,M,Cameroon,Football,Gold,1
Ids Hylke Postma,M,Netherlands,Speed Skating,Gold,1
Iefke van Belkum,F,Netherlands,Water Polo,Gold,1
Ignacio Ortz,M,Argentina,Hockey,Gold,1
Igor Aleksandrovich Kravchuk,M,Soviet Union,Ice Hockey,Gold,1
Igor Aleksandrovich Kravchuk,M,Unified Team,Ice Hockey,Gold,1
Igor Aleksandrovich Kravtsov,M,Russia,Rowing,Gold,1
Igor Aleksandrovich Netto,M,Soviet Union,Football,Gold,1
Igor Aleksandrovich Sokolov,M,Soviet Union,Shooting,Gold,1
Igor Alekseyevich Malkov,M,Soviet Union,Speed Skating,Gold,1
Igor Anatolyevich Ponomaryov,M,Soviet Union,Football,Gold,1
Igor Cassina,M,Italy,Gymnastics,Gold,1
Igor Goanin,M,Yugoslavia,Water Polo,Gold,1
Igor Hini,M,Croatia,Water Polo,Gold,1
Igor Ivanovich Doborovolsky,M,Soviet Union,Football,Gold,1
Igor Mareni,M,Croatia,Sailing,Gold,1
Igor Nikolayevich Polyansky,M,Soviet Union,Swimming,Gold,1
Igor Petrovich Boldin,M,Unified Team,Ice Hockey,Gold,1
Igor Viktorovich Lavrov,M,Russia,Handball,Gold,1
Igor Viktorovich Makarov,M,Belarus,Judo,Gold,1
Igor Vladimirovich Chumak,M,Soviet Union,Handball,Gold,1
Igor Vladimirovich Chumak,M,Unified Team,Handball,Gold,1
Igor Vladimirovich Lukashin,M,Russia,Diving,Gold,1
Igor Vladimirovich Vasilyev,M,Unified Team,Handball,Gold,1
Igor Vori,M,Croatia,Handball,Gold,1
Igor Vuurovi,M,Serbia and Montenegro,Volleyball,Gold,1
Igor Yevgenyevich Sklyarov,M,Soviet Union,Football,Gold,1
Igors Miglinieks,M,Soviet Union,Basketball,Gold,1
Igors Vihrovs,M,Latvia,Gymnastics,Gold,1
Ihor Hryhorovych Matviyenko,M,Ukraine,Sailing,Gold,1
Ihor Mykhailovych Rybak,M,Soviet Union,Weightlifting,Gold,1
Ihor Oleksiyovych Korobchinskiy,M,Unified Team,Gymnastics,Gold,1
Ihor Vasylovych Tselovalnykov,M,Soviet Union,Cycling,Gold,1
Iivo Henrik Niskanen,M,Finland,Cross Country Skiing,Gold,1
Iker Martnez de Lizarduy Lizarribar,M,Spain,Sailing,Gold,1
Ilaria Salvatori,F,Italy,Fencing,Gold,1
Ildik Schwarczenberger-Tordasi (-Kovcs),F,Hungary,Fencing,Gold,1
Ilgar Yashar-ogly Mamedov,M,Russia,Fencing,Gold,1
Ilgar Yashar-ogly Mamedov,M,Soviet Union,Fencing,Gold,1
Ilias Iliadis,M,Greece,Judo,Gold,1
Ilke Wyludda,F,Germany,Athletics,Gold,1
Illia Fedorovych Mate,M,Soviet Union,Wrestling,Gold,1
Ilmari R. Salminen,M,Finland,Athletics,Gold,1
Ilmari Vesamaa,M,Finland,Athletics,Gold,1
Ilona Novk (-Popper),F,Hungary,Swimming,Gold,1
"Ilona Schoknecht-Slupianek (-Briesenick, -Longo)",F,East Germany,Athletics,Gold,1
Ilse Paulis,F,Netherlands,Rowing,Gold,1
Ilse Suzanne van der Meijden,F,Netherlands,Water Polo,Gold,1
Ilya Aleksandrovich Kulik,M,Russia,Figure Skating,Gold,1
Ilya Leonidovich Zakharov,M,Russia,Diving,Gold,1
Ilya Vladimirovich Byakin,M,Soviet Union,Ice Hockey,Gold,1
Im Mi-Gyeong,F,South Korea,Handball,Gold,1
Im O-Gyeong,F,South Korea,Handball,Gold,1
Im Su-Jeong,F,South Korea,Taekwondo,Gold,1
Imran Ahmed Khan Sherwani,M,Great Britain,Hockey,Gold,1
Imre Bujdos,M,Hungary,Fencing,Gold,1
Imre Fldi,M,Hungary,Weightlifting,Gold,1
Imre Gedvri,M,Hungary,Fencing,Gold,1
Imre Harangi,M,Hungary,Boxing,Gold,1
Imre Hdos,M,Hungary,Wrestling,Gold,1
Imre Komora,M,Hungary,Football,Gold,1
Imre Kovcs,M,Hungary,Football,Gold,1
Imre Nagy,M,Hungary,Modern Pentathlon,Gold,1
Imre Nmeth,M,Hungary,Athletics,Gold,1
Imre Polyk,M,Hungary,Wrestling,Gold,1
Imre Pulai,M,Hungary,Canoeing,Gold,1
Imre Rajczy (Rasztovich-),M,Hungary,Fencing,Gold,1
Ines Geiler (-Kaulfuss),F,East Germany,Swimming,Gold,1
"Inesa Mykolavna Kravets (Shuliak-, -Izvachuk)",F,Ukraine,Athletics,Gold,1
Inese Jaunzeme (-Goba),F,Soviet Union,Athletics,Gold,1
Ingar H. Nielsen,M,Bera,Sailing,Gold,1
Ingar H. Nielsen,M,Eleda,Sailing,Gold,1
Inge Dekker,F,Netherlands,Swimming,Gold,1
Inge Margriet Zegers (-de Ruiter),F,Netherlands,Hockey,Gold,1
Inger Helene Nybrten,F,Norway,Cross Country Skiing,Gold,1
Inger Reidun Aufles (Dving-),F,Norway,Cross Country Skiing,Gold,1
Inger Z. Miller,F,United States,Athletics,Gold,1
Ingo Appelt,M,Austria-1,Bobsleigh,Gold,1
Ingo Spelly,M,Germany,Canoeing,Gold,1
Ingo Weienborn,M,Germany,Fencing,Gold,1
Ingolf Richard Rd,M,Jo,Sailing,Gold,1
Ingolf Wiegert,M,East Germany,Handball,Gold,1
Ingrid Auerswald-Lange (Brestrich-),F,East Germany,Athletics,Gold,1
Ingrid Clara Charlotta Sandahl (-Sundell),F,Sweden,Gymnastics,Gold,1
Ingvild Flugstad stberg,F,Norway,Cross Country Skiing,Gold,1
Inna Vasilyevna Deriglazova,F,Russia,Fencing,Gold,1
Inna Volodymyrivna Osypenko-Radomska,F,Ukraine,Canoeing,Gold,1
Innozenz Stangl,M,Germany,Gymnastics,Gold,1
Ioana Badea,F,Romania,Rowing,Gold,1
Ioana Cristina Papuc-Rotaru,F,Romania,Rowing,Gold,1
Ioannis Agrimis,M,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Gold,1
Ioannis Frangoudis,M,Greece,Shooting,Gold,1
Ioannis Georgas,M,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Gold,1
Ioannis Kaisarefs,M,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Gold,1
Ioannis Lafiotis,M,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Gold,1
Ioannis Loukas,M,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Gold,1
Ioannis Malokinis,M,Greece,Swimming,Gold,1
Ioannis Melissanidis,M,Greece,Gymnastics,Gold,1
Ioannis Mitropoulos,M,Greece,Gymnastics,Gold,1
Ioannis Pilouris,M,"Large boat, Central Naval Prep School ""Poros""-1",Rowing,Gold,1
Ion Draica,M,Romania,Wrestling,Gold,1
Ion Dumitrescu,M,Romania,Shooting,Gold,1
"Ionel Alexandru ""Ion"" Drmb",M,Romania,Fencing,Gold,1
Iosif Konstantinovich Berdiyev,M,Soviet Union,Gymnastics,Gold,1
Iosif Srbu,M,Romania,Shooting,Gold,1
Iosyp Iosypovych Betsa,M,Soviet Union,Football,Gold,1
Iouri Aleksandrovich Podladtchikov,M,Switzerland,Snowboarding,Gold,1
Ippolito Sanfratello,M,Italy,Speed Skating,Gold,1
Ira James Murchison,M,United States,Athletics,Gold,1
Irakli Tsirekidze,M,Georgia,Judo,Gold,1
Irene Camber-Corno,F,Italy,Fencing,Gold,1
Irene May Guest (-Loog),F,United States,Swimming,Gold,1
Irene Steer (-Nicholson),F,Great Britain,Swimming,Gold,1
Ireneusz Paliski,M,Poland,Weightlifting,Gold,1
Irfan Smajlagi,M,Croatia,Handball,Gold,1
Irina Aleksandrovna Zilber,F,Russia,Rhythmic Gymnastics,Gold,1
Irina Anatolyevna Privalova (Sergeyeva-),F,Russia,Athletics,Gold,1
Irina Anatolyevna Smirnova-Ilchenko,F,Soviet Union,Volleyball,Gold,1
Irina Edvinovna Minkh,F,Unified Team,Basketball,Gold,1
Irina Mller (-Weisse),F,East Germany,Rowing,Gold,1
Irina Olegovna Belova,F,Russia,Rhythmic Gymnastics,Gold,1
Irina Olegovna Shilova,F,Soviet Union,Shooting,Gold,1
Irina Petrovna Makogonova (-Kolodyazhnaya),F,Soviet Union,Volleyball,Gold,1
Irina Valeryevna Bliznova,F,Russia,Handball,Gold,1
Irina Viktorovna Nazarova (Bagryantseva-),F,Soviet Union,Athletics,Gold,1
Irina Vladimirovna Kalinina (-Bazhina),F,Soviet Union,Diving,Gold,1
Irina Vladimirovna Karavayeva,F,Russia,Trampolining,Gold,1
Irina Vladimirovna Parkhomchuk (-Kirillova),F,Soviet Union,Volleyball,Gold,1
Irina Vladimirovna Pershina,F,Russia,Synchronized Swimming,Gold,1
Irina Vladimirovna Sumnikova (Sviridenko-),F,Unified Team,Basketball,Gold,1
Irina Yakovlevna Gerlits,F,Unified Team,Basketball,Gold,1
Irma Elina Johansson (-berg),F,Sweden,Cross Country Skiing,Gold,1
Irving Carrie Taylor,M,Canada,Ice Hockey,Gold,1
Irving Jahir Saladino Arana,M,Panama,Athletics,Gold,1
Irving Romaro Calkins,M,United States,Shooting,Gold,1
Iryna Havrylivna Palchykova (Biletska-),F,Soviet Union,Handball,Gold,1
Iryna Oleksivna Merleni-Mykulchyn (Melnyk-),F,Ukraine,Wrestling,Gold,1
"Isaac ""Ike"" Berger",M,United States,Weightlifting,Gold,1
Isaac Bentham,M,Great Britain,Water Polo,Gold,1
Isaac Lazarus Israls,M,Netherlands,Art Competitions,Gold,1
Isabel Kerschowski,F,Germany,Football,Gold,1
