name,Sex,Team,Sport,Medal,Medal_Count
Ivan Patzaichin,M,Romania,Canoeing,Gold,4
Ivar Eugen Ballangrud (Eriksen-),M,Norway,Speed Skating,Gold,4
"James Cleveland ""Jesse"" Owens",M,United States,Athletics,Gold,4
"James Davies ""Jim"" Lightbody",M,United States,Athletics,Gold,4
Janet Beth Evans,F,United States,Swimming,Gold,4
Janica Kosteli,F,Croatia,Alpine Skiing,Gold,4
Jason Edward Lezak,M,United States,Swimming,Gold,4
Jayna Hefford,F,Canada,Ice Hockey,Gold,4
Jen Fuchs (-Fekete),M,Hungary,Fencing,Gold,4
Jeon I-Gyeong,F,South Korea,Short Track Speed Skating,Gold,4
Jin Jong-O,M,South Korea,Shooting,Gold,4
"Johan Pietari ""Hannes"" Kolehmainen",M,Finland,Athletics,Gold,4
Johann Olav Koss,M,Norway,Speed Skating,Gold,4
John Frederick Hencken,M,United States,Swimming,Gold,4
John Phillips Naber,M,United States,Swimming,Gold,4
Jon C. Olsen,M,United States,Swimming,Gold,4
Kaori Icho,F,Japan,Wrestling,Gold,4
Kathrin Boron (-Kppen),F,Germany,Rowing,Gold,4
Katrin Wagner-Augustin,F,Germany,Canoeing,Gold,4
Kim Su-Nyeong,F,South Korea,Archery,Gold,4
Kjetil Andr Aamodt,M,Norway,Alpine Skiing,Gold,4
Konrad Stheli,M,Switzerland,Shooting,Gold,4
"Kornelia Ender (-Matthes, -Grummt)",F,East Germany,Swimming,Gold,4
Kosuke Kitajima,M,Japan,Swimming,Gold,4
Larisa Yevgenyevna Lazutina (Ptitsyna-),F,Russia,Cross Country Skiing,Gold,4
Lasse Artturi Virn,M,Finland,Athletics,Gold,4
Laura Rebecca Trott (-Kenny),F,Great Britain,Cycling,Gold,4
Lenny Krayzelburg,M,United States,Swimming,Gold,4
"Leontine Martha Henrica Petronella ""Leontien"" Zijlaard-van Moorsel",F,Netherlands,Cycling,Gold,4
Li Xiaopeng,M,China,Gymnastics,Gold,4
Lisa Deshawn Leslie (-Lockwood),F,United States,Basketball,Gold,4
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,Australia,Swimming,Gold,4
Lloyd Spencer Spooner,M,United States,Shooting,Gold,4
Lucien Alphonse Paul Gaudin,M,France,Fencing,Gold,4
Lyudmila Ivanovna Turishcheva (-Borzova),F,Soviet Union,Gymnastics,Gold,4
Marcus Latimer Hurley,M,United States,Cycling,Gold,4
"Matthew ""Matt"" Grevers",M,United States,Swimming,Gold,4
Matthew Clive Pinsent,M,Great Britain,Rowing,Gold,4
Matti Ensio Nyknen (-Paanala),M,Finland,Ski Jumping,Gold,4
"Melvin Winfield ""Mel"" Sheppard",M,United States,Athletics,Gold,4
Meyer Prinstein,M,United States,Athletics,Gold,4
Michael Duane Johnson,M,United States,Athletics,Gold,4
"Michael Jay ""Mike"" Burton",M,United States,Swimming,Gold,4
"Mohamed Muktar Jama ""Mo"" Farah",M,Great Britain,Athletics,Gold,4
Nikolay Semyonovich Zimyatov,M,Soviet Union,Cross Country Skiing,Gold,4
"Olga Valentinovna Korbut (-Bortkevich, -Voynich)",F,Soviet Union,Gymnastics,Gold,4
Oreste Puliti,M,Italy,Fencing,Gold,4
Otto Martin Olsen,M,Norway,Shooting,Gold,4
"Patricia Joan ""Pat"" McCormick (Keller-)",F,United States,Diving,Gold,4
Paul Bert Elvstrm,M,Denmark,Sailing,Gold,4
Ramn Fonst Segundo,M,Cuba,Fencing,Gold,4
Ricco Gro,M,Germany,Biathlon,Gold,4
Robert Marek Korzeniowski,M,Poland,Athletics,Gold,4
Roland Matthes,M,East Germany,Swimming,Gold,4
Sanya Richards-Ross,F,United States,Athletics,Gold,4
Simon Ammann,M,Switzerland,Ski Jumping,Gold,4
Simone Arianne Biles,F,United States,Gymnastics,Gold,4
"Suzanne Brigit ""Sue"" Bird",F,United States,Basketball,Gold,4
Sven Fischer,M,Germany,Biathlon,Gold,4
Tamika Devonne Catchings,F,United States,Basketball,Gold,4
Tams Darnyi,M,Hungary,Swimming,Gold,4
Teresa Edwards,F,United States,Basketball,Gold,4
Thomas Lars Wassberg,M,Sweden,Cross Country Skiing,Gold,4
Valentin Ivanovich Muratov,M,Soviet Union,Gymnastics,Gold,4
Viktor Aleksandrovich Sidyak,M,Soviet Union,Fencing,Gold,4
Viktor Alekseyevich Krovopuskov,M,Soviet Union,Fencing,Gold,4
Viorica Susanu,F,Romania,Rowing,Gold,4
Vladimir Nikolayevich Artyomov,M,Soviet Union,Gymnastics,Gold,4
Vladimir Valeryevich Salnikov,M,Soviet Union,Swimming,Gold,4
Wang Meng,F,China,Short Track Speed Skating,Gold,4
William Harrison Dillard,M,United States,Athletics,Gold,4
Yana Oleksandrivna Klochkova,F,Ukraine,Swimming,Gold,4
Yelena Dmitriyevna Novikova-Belova,F,Soviet Union,Fencing,Gold,4
