,Name,Sex,Team,Sport,Medal,Medal_Count
167,Albert Paul Durant,M,Belgium,Water Polo,Bronze,1
168,Albert Rocas Comas,M,Spain,Handball,Bronze,1
169,Albert Saritov,M,Romania,Wrestling,Bronze,1
170,Albert Wyckmans,M,Belgium,Cycling,Bronze,1
171,Albert mile Reneld Hersoy,M,France,Gymnastics,Bronze,1
172,"Albertina Iosifovna ""Berta"" Kolokoltseva (Zlobina-)",F,Soviet Union,Speed Skating,Bronze,1
173,"Alberto ""Albert"" Costa Casal",M,Spain,Tennis,Bronze,1
174,Alberto Angelini,M,Italy,Water Polo,Bronze,1
175,Alberto Blanco Fernndez,M,Cuba,Weightlifting,Bronze,1
176,Alberto Demiddi,M,Argentina,Rowing,Bronze,1
177,Alberto Entrerros Rodrguez,M,Spain,Handball,Bronze,1
178,Alberto Gilardino,M,Italy,Football,Bronze,1
179,Alberto Lombardi,M,Italy,Equestrianism,Bronze,1
180,Alberto Marco Giovanni Ghibellini,M,Italy,Water Polo,Bronze,1
181,Alberto Marson,M,Brazil,Basketball,Bronze,1
182,Alberto Pigaiani,M,Italy,Weightlifting,Bronze,1
183,Alberto Ramos Sesma,M,Mexico,Polo,Bronze,1
184,Alberto Ruggia,M,"Marinai della nave da guerra ""Varese""",Rowing,Bronze,1
185,Alberto Urdiales Mrquez,M,Spain,Handball,Bronze,2
186,"Alberto Vldes Lacarra, Jr.",M,Mexico,Equestrianism,Bronze,1
187,Albertson Van Zo Post,M,United States,Fencing,Bronze,2
188,"Albertus Stephanus ""Kwagga"" Smith",M,South Africa,Rugby Sevens,Bronze,1
189,Albertus Wielsma,M,Amstel Amsterdam,Rowing,Bronze,1
190,Albin Georges Lermusiaux,M,France,Athletics,Bronze,1
191,Albina Khamitovna Akhatova,F,Russia,Biathlon,Bronze,3
192,Aldair Nascimento dos Santos,M,Brazil,Football,Bronze,1
193,Aldo Eminente,M,France,Swimming,Bronze,1
194,Aldo Montano,M,Italy,Fencing,Bronze,2
195,Ale Hemsk,M,Czech Republic,Ice Hockey,Bronze,1
196,Ale Kotalk,M,Czech Republic,Ice Hockey,Bronze,1
197,Alec Potts,M,Australia,Archery,Bronze,1
198,Alejandra Laura Gulla,F,Argentina,Hockey,Bronze,2
199,"Alejandro ""lex"" Abrines Redondo",M,Spain,Basketball,Bronze,1
200,Alejandro Diz,M,Argentina,Volleyball,Bronze,1
201,Alejandro Urgells Guibot,M,Cuba,Basketball,Bronze,1
202,Aleksa aponji,M,Serbia,Water Polo,Bronze,1
203,Aleksandar D. Nikolov,M,Bulgaria,Boxing,Bronze,1
204,Aleksandar Petrovi,M,Yugoslavia,Basketball,Bronze,1
205,Aleksandar Varbanov,M,Bulgaria,Weightlifting,Bronze,1
206,Aleksandar api,M,Serbia,Water Polo,Bronze,1
207,Aleksandar api,M,Serbia and Montenegro,Water Polo,Bronze,1
208,Aleksandar iri,M,Serbia,Water Polo,Bronze,1
209,Aleksandar iri,M,Serbia and Montenegro,Water Polo,Bronze,1
210,Aleksandar otar,M,Serbia and Montenegro,Water Polo,Bronze,1
211,Aleksander Antoni Wodzimierz Maecki (Saryusz),M,Poland,Fencing,Bronze,1
212,Aleksander Barkov,M,Finland,Ice Hockey,Bronze,1
213,Aleksander Jan Cicho,M,Poland,Wrestling,Bronze,1
214,Aleksander Klumberg (-Kolmpere),M,Estonia,Athletics,Bronze,1
215,Aleksander Tammert,M,Estonia,Athletics,Bronze,1
216,Aleksandr Aleksandrovich Anufriyev,M,Soviet Union,Athletics,Bronze,1
217,Aleksandr Aleksandrovich Belov,M,Soviet Union,Basketball,Bronze,1
218,Aleksandr Aleksandrovich Smyshlyayev,M,Russia,Freestyle Skiing,Bronze,1
219,Aleksandr Aleksandrovich Volkov,M,Russia,Volleyball,Bronze,1
220,Aleksandr Aleksandrovich Zavyalov,M,Soviet Union,Cross Country Skiing,Bronze,1
221,Aleksandr Alekseyevich Minayev,M,Soviet Union,Football,Bronze,1
222,Aleksandr Anatolyevich Pavlovsky,M,Soviet Union,Fencing,Bronze,1
223,Aleksandr Anatolyevich Romankov,M,Soviet Union,Fencing,Bronze,2
224,Aleksandr Anatolyevich Yeryshov,M,Russia,Water Polo,Bronze,1
225,Aleksandr Arkadyevich Tuchkin,M,Russia,Handball,Bronze,1
226,Aleksandr Borisovich Kosaryev,M,Russia,Volleyball,Bronze,2
227,Aleksandr Davletovich Almetov,M,Soviet Union,Ice Hockey,Bronze,1
228,Aleksandr Diomidovich Rodionov,M,Gallia II,Sailing,Bronze,1
229,Aleksandr Georgiyevich Baryshnikov,M,Soviet Union,Athletics,Bronze,1
230,Aleksandr Georgiyevich Martyshkin,M,Soviet Union,Rowing,Bronze,1
231,Aleksandr Ivanovich Maletin,M,Russia,Boxing,Bronze,1
232,Aleksandr Ivanovich Myasnikov,M,Soviet Union,Hockey,Bronze,1
233,Aleksandr Matveyevich Yelizarov,M,Soviet Union,Biathlon,Bronze,1
234,Aleksandr Mikhaylovich Kosenkov,M,Soviet Union,Diving,Bronze,1
235,Aleksandr Mikhaylovich Saprykin,M,Soviet Union,Volleyball,Bronze,1
236,Aleksandr Mikhaylovich Sychov,M,Soviet Union,Hockey,Bronze,1
237,Aleksandr Nikolayevich Dityatin,M,Soviet Union,Gymnastics,Bronze,1
238,Aleksandr Nikolayevich Puchkov,M,Soviet Union,Athletics,Bronze,1
239,Aleksandr Nikolayevich Zabelin,M,Soviet Union,Shooting,Bronze,1
240,Aleksandr Olegovich Kaun,M,Russia,Basketball,Bronze,1
241,Aleksandr Petrovich Gusev,M,Soviet Union,Hockey,Bronze,1
242,Aleksandr Sergeyevich Fedorov,M,Russia,Water Polo,Bronze,1
243,Aleksandr Sergeyevich Goncharov,M,Soviet Union,Hockey,Bronze,1
244,Aleksandr Sergeyevich Zaychikov,M,Kazakhstan,Weightlifting,Bronze,1
