,Team,Medal,Medal_Count
745,Uzbekistan,Bronze,17
746,Uzbekistan,Gold,10
747,Uzbekistan,Silver,7
748,Venezuela,Bronze,10
749,Venezuela,Gold,2
750,Venezuela,Silver,3
751,Venilia,Bronze,3
752,Vesper Boat Club,Gold,18
753,Vietnam,Gold,1
754,Vietnam,Silver,3
755,Vinga-1,Silver,5
756,Vision,Silver,4
757,Wales-4,Bronze,11
758,Wannsee,Gold,2
759,Web II,Silver,3
760,West Germany,Bronze,219
761,West Germany,Gold,155
762,West Germany,Silver,184
763,West Germany-1,Bronze,14
764,West Germany-1,Gold,2
765,West Germany-1,Silver,10
766,West Germany-2,Gold,2
767,West Indies Federation,Bronze,5
768,Western Golf Association-1,Gold,10
769,Western Rowing Club-3,Bronze,6
770,White Lady,Gold,3
771,Widgeon,Bronze,2
772,Willem-Six,Bronze,3
773,Winnipeg Shamrocks-1,Gold,12
774,Yugoslavia,Bronze,93
775,Yugoslavia,Gold,130
776,Yugoslavia,Silver,167
777,Zambia,Bronze,1
778,Zambia,Silver,1
779,Zimbabwe,Bronze,1
780,Zimbabwe,Gold,17
781,Zimbabwe,Silver,4
782,Zut,Silver,3
